European Union - 28 countries;104,78
Belgium;16,86
Bulgaria;206,96
Czechia;22,27
Denmark;0,00
Germany;8,82
Estonia;0,00
Ireland;0,00
Greece;349,63
Spain; 344,24
France;66,40
Croatia;206,69
Italy;295,40
Cyprus;702,58
Latvia;0,63
Lithuania;4,63
Luxembourg;23,08
Hungary;142,91
Malta;673,29
Netherlands;5,79
Austria;34,91
Poland;19,64
Portugal;269,43
Romania;131,25
Slovenia;87,43
Slovakia;59,89
Finland;0,00
Sweden;0,00
United Kingdom;0,22
Iceland;NA
Norway;NA
Switzerland;NA
Turkey;
