European Union - 28 countries;17,54
Belgium;8,02
Bulgaria;33,19
Czechia;26,8
Denmark;26,8
Germany;13,53
Estonia;41,42
Ireland;1,53
Greece;24,09
Spain;18,88
France;21,92
Croatia;46,28
Italy;21,32
Cyprus;21,23
Latvia;42,23
Lithuania;32,31
Luxembourg;6,31
Hungary;26,11
Malta;12,61
Netherlands;5,64
Austria;27,56
Poland;13,68
Portugal;31,77
Romania;39,77
Slovenia;44,82
Slovakia;1,93
Finland;30,86
Sweden;12,71
United Kingdom;5,06
Iceland;2,85
Norway;12,24
Switzerland;NA
Turkey;18,78
